content,month_str,value
Profiles: People,2013-11,10299
Profiles: People,2013-12,10865
Profiles: People,2014-01,11202
Profiles: People,2014-02,11950
Profiles: People,2014-03,12596
Profiles: People,2014-04,7791
Profiles: People,2014-05,5290
Profiles: People,2014-06,8548
Profiles: People,2014-07,7541
Profiles: People,2014-08,9492
Profiles: People,2014-09,8666
Profiles: People,2014-10,7993
Profiles: People,2014-11,1916
Profiles: Products,2007-05,2
Profiles: Products,2007-06,42
Profiles: Products,2007-07,157
Profiles: Products,2007-08,177
Profiles: Products,2007-09,46
Profiles: Products,2007-10,65
Profiles: Products,2007-11,101
Profiles: Products,2007-12,127
Profiles: Products,2008-01,112
Profiles: Products,2008-02,454
Profiles: Products,2008-03,296
Profiles: Products,2008-04,195
Profiles: Products,2008-05,407
Profiles: Products,2008-06,296
Profiles: Products,2008-07,352
Profiles: Products,2008-08,194
Profiles: Products,2008-09,139
Profiles: Products,2008-10,713
Profiles: Products,2008-11,651
Profiles: Products,2008-12,893
Profiles: Products,2009-01,719
Profiles: Products,2009-02,598
Profiles: Products,2009-03,596
Profiles: Products,2009-04,501
Profiles: Products,2009-05,477
Profiles: Products,2009-06,847
Profiles: Products,2009-07,404
Profiles: Products,2009-08,148
Profiles: Products,2009-09,117
Profiles: Products,2009-10,204
Profiles: Products,2009-11,163
Profiles: Products,2009-12,188
Profiles: Products,2010-01,176
Profiles: Products,2010-02,143
Profiles: Products,2010-03,271
Profiles: Products,2010-04,226
Profiles: Products,2010-05,183
Profiles: Products,2010-06,185
Profiles: Products,2010-07,229
Profiles: Products,2010-08,293
Profiles: Products,2010-09,200
Profiles: Products,2010-10,391
Profiles: Products,2010-11,209
Profiles: Products,2010-12,343
Profiles: Products,2011-01,235
Profiles: Products,2011-02,307
Profiles: Products,2011-03,247
Profiles: Products,2011-04,241
Profiles: Products,2011-05,366
Profiles: Products,2011-06,382
Profiles: Products,2011-07,329
Profiles: Products,2011-08,217
Profiles: Products,2011-09,236
Profiles: Products,2011-10,215
Profiles: Products,2011-11,230
Profiles: Products,2011-12,247
Profiles: Products,2012-01,286
Profiles: Products,2012-02,279
Profiles: Products,2012-03,303
Profiles: Products,2012-04,365
Profiles: Products,2012-05,415
